Subject ID;Video ID;Attention (Proprietary measure of mental focus);Mediation (Proprietary measure of calmness);Raw (Raw EEG signal);Delta (1-3 Hz of power spectrum);Theta (4-7 Hz of power spectrum);Alpha 1 (Lower 8-11 Hz of power spectrum);Alpha 2 (Higher 8-11 Hz of power spectrum);Beta 1 (Lower 12-29 Hz of power spectrum);Beta 2 (Higher 12-29 Hz of power spectrum);Gamma 1 (Lower 30-100 Hz of power spectrum);Gamma 2 (Higher 30-100 Hz of power spectrum); predefined label (whether the subject is expected to be confused);user-defined label (whether the subject is actually confused)
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;1,11E+24;1,13E+23;3,85E+22;4,83E+22;5,85E+22;3,57E+23;3,37E+23;7,97E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-1,76E+21;5,46E+23;1,58E+23;8,05E+22;8,83E+22;3,90E+22;1,83E+23;4,74E+23;7,97E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;5,06E+23;1,15E+23;1,34E+22;1,80E+22;1,01E+22;1,68E+23;1,29E+23;4,81E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;5,96E+23;1,26E+23;7,22E+21;1,84E+22;1,00E+22;2,38E+23;1,72E+23;2,54E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;7,51E+23;1,29E+23;2,76E+22;4,29E+22;4,87E+22;4,58E+23;2,66E+23;4,36E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;9,51E+23;3,96E+23;5,12E+21;4,42E+22;1,00E+23;4,29E+23;5,06E+23;1,79E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;7,50E+23;2,14E+23;1,69E+22;6,09E+22;9,86E+21;8,53E+22;8,65E+22;3,02E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;3,80E+23;1,48E+23;5,43E+22;9,90E+21;2,96E+22;1,99E+23;1,82E+23;5,11E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;4,33E+23;2,97E+23;4,38E+22;4,11E+22;1,10E+22;2,34E+23;2,74E+23;4,13E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;1,80E+23;5,08E+22;8,75E+21;1,75E+22;3,94E+22;9,14E+22;7,71E+22;1,88E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;2,55E+23;1,76E+23;1,78E+22;9,61E+21;8,53E+21;2,62E+23;2,89E+23;2,60E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;1,10E+24;3,93E+23;5,56E+21;2,66E+22;4,29E+22;1,64E+23;1,71E+23;4,15E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;3,83E+22;2,48E+22;2,75E+21;1,35E+22;1,13E+22;1,20E+23;3,63E+22;3,62E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;5,54E+23;1,57E+23;4,33E+22;6,01E+22;7,98E+22;2,90E+23;5,24E+23;1,04E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;5,70E+23;1,63E+23;1,06E+22;1,15E+22;1,70E+22;2,62E+23;2,64E+23;3,15E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;4,62E+23;1,05E+23;3,43E+22;3,87E+22;2,65E+22;1,39E+23;2,58E+23;7,57E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;5,82E+22;9,40E+22;1,69E+22;1,78E+22;2,27E+22;5,88E+22;5,92E+22;1,70E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;5,34E+23;2,14E+23;1,83E+22;2,25E+22;3,76E+22;3,00E+23;4,59E+23;8,33E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;9,07E+20;4,15E+23;1,15E+23;2,14E+22;3,04E+22;1,33E+22;2,09E+23;1,83E+23;3,00E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;1,51E+24;1,00E+23;4,90E+22;1,87E+22;7,78E+22;1,64E+23;3,92E+23;1,48E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;1,07E+21;5,03E+23;2,63E+23;1,28E+22;5,37E+22;1,96E+23;5,33E+23;4,03E+23;8,76E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;7,35E+23;1,68E+23;2,31E+22;4,40E+22;2,96E+22;2,45E+23;1,49E+23;4,61E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;1,79E+23;3,34E+23;8,49E+21;1,65E+22;2,38E+22;3,38E+23;2,04E+23;4,22E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;5,90E+23;9,17E+22;1,91E+22;2,93E+22;3,05E+22;9,81E+22;1,96E+23;2,50E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;3,00E+23;2,03E+23;3,77E+22;5,95E+22;9,31E+21;2,59E+23;2,11E+23;5,21E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;4,82E+23;1,38E+23;2,76E+22;1,42E+22;8,13E+22;2,24E+23;1,08E+23;4,72E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;3,19E+24;7,06E+23;1,44E+23;1,06E+23;1,38E+23;5,34E+23;8,34E+23;2,50E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;6,51E+23;7,72E+22;4,16E+22;4,09E+22;3,10E+22;1,50E+23;2,50E+23;1,77E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;8,64E+23;2,36E+23;5,95E+22;3,62E+22;1,36E+23;2,54E+23;4,11E+23;9,55E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;4,03E+23;1,44E+23;1,84E+22;1,76E+22;6,24E+22;2,18E+23;1,09E+23;5,39E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;1,06E+24;5,68E+23;3,24E+22;3,03E+22;3,02E+22;2,29E+23;2,37E+23;4,11E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;2,02E+23;1,39E+23;1,74E+22;4,04E+22;6,87E+22;4,42E+23;3,61E+23;6,27E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;1,11E+23;3,23E+22;5,40E+21;3,04E+22;3,38E+22;4,35E+22;5,47E+22;1,76E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;1,42E+23;2,27E+23;3,31E+21;3,26E+22;2,58E+22;4,69E+23;1,84E+23;2,21E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;6,26E+23;2,20E+23;7,47E+22;2,67E+22;4,46E+22;1,60E+23;1,80E+23;3,94E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;2,47E+23;1,15E+23;3,38E+22;4,70E+22;3,57E+22;3,37E+23;2,84E+23;9,98E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;8,80E+22;1,05E+23;3,22E+21;3,24E+22;1,59E+22;1,02E+23;9,29E+22;1,82E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;5,81E+23;1,23E+23;9,81E+21;2,30E+22;1,05E+22;3,40E+23;3,84E+23;1,15E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;1,30E+24;5,41E+22;4,01E+22;1,46E+22;4,36E+22;2,34E+23;1,39E+23;8,75E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;4,12E+23;4,03E+23;7,37E+22;4,56E+22;3,28E+22;1,81E+23;4,52E+23;9,38E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;2,66E+23;1,92E+23;7,68E+21;4,05E+22;3,69E+22;3,19E+23;2,98E+23;5,91E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-6,20E+19;6,93E+23;9,25E+22;1,30E+22;4,51E+22;2,78E+22;3,41E+23;1,90E+23;6,79E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;1,01E+24;1,02E+24;1,12E+23;5,96E+22;1,31E+23;6,47E+23;1,58E+24;1,48E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;3,52E+23;3,75E+23;1,61E+22;5,27E+22;7,26E+22;2,61E+23;4,93E+23;1,06E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;1,70E+23;7,34E+22;9,91E+21;1,65E+22;3,01E+22;9,29E+22;7,82E+22;1,63E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;1,80E+21;3,52E+23;3,14E+23;4,51E+22;6,76E+22;1,33E+22;3,25E+23;2,10E+23;6,37E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;7,01E+23;2,30E+23;1,08E+22;3,08E+22;3,69E+22;2,61E+23;2,83E+23;6,32E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;3,94E+20;2,52E+23;1,03E+23;3,23E+22;5,65E+22;4,29E+22;5,47E+23;2,35E+23;8,89E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;3,59E+23;1,88E+23;6,50E+22;3,90E+22;1,61E+22;8,37E+23;1,19E+23;1,01E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;1,76E+23;3,31E+23;1,46E+22;2,23E+22;3,85E+22;2,78E+23;2,20E+23;3,82E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;5,87E+23;9,39E+22;1,99E+22;3,09E+22;4,14E+22;1,08E+23;1,99E+23;2,43E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;4,44E+23;2,60E+23;7,45E+21;9,58E+22;3,20E+22;2,26E+23;2,76E+23;6,81E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;4,10E+23;2,06E+23;8,81E+21;2,32E+22;2,50E+22;1,44E+23;1,42E+23;5,74E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;8,22E+23;1,49E+23;1,62E+22;4,04E+22;7,88E+21;1,96E+23;1,35E+23;5,62E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;6,01E+23;7,89E+22;5,01E+22;2,14E+22;2,74E+22;1,48E+23;2,26E+23;1,90E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;7,69E+23;2,67E+23;7,11E+22;3,47E+22;6,81E+22;3,49E+23;5,21E+23;6,02E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;1,32E+24;1,49E+23;9,99E+22;3,37E+22;1,04E+23;8,78E+22;1,33E+23;4,60E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;2,15E+24;1,69E+24;2,41E+23;1,79E+23;1,01E+23;9,89E+23;1,74E+24;2,74E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;5,17E+23;8,38E+22;3,69E+22;2,27E+22;3,81E+22;2,43E+23;4,92E+23;8,13E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;3,54E+23;2,54E+23;3,96E+22;5,11E+22;1,65E+22;2,04E+23;2,46E+23;3,14E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-1,64E+21;4,55E+23;1,49E+23;3,23E+22;2,06E+22;1,95E+22;1,93E+23;1,41E+23;4,77E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;1,77E+23;5,52E+22;5,33E+21;5,32E+21;1,98E+22;2,17E+23;3,08E+22;2,54E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;6,59E+23;1,36E+24;1,57E+23;2,88E+23;6,75E+22;1,65E+24;1,32E+24;2,00E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;9,86E+22;3,28E+22;1,22E+22;2,51E+22;1,88E+22;7,82E+22;7,12E+22;3,00E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;5,82E+23;3,08E+23;4,60E+22;1,17E+22;1,90E+22;2,63E+23;1,84E+23;6,70E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;9,42E+23;8,98E+22;2,32E+22;4,23E+22;3,30E+22;1,78E+23;2,19E+23;8,32E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;4,64E+22;4,72E+22;1,28E+22;1,77E+22;3,23E+22;1,25E+23;6,23E+22;2,82E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;7,82E+23;1,41E+23;5,09E+22;3,29E+22;3,77E+22;1,16E+23;1,63E+23;4,61E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;3,49E+23;2,09E+23;4,72E+22;1,87E+22;3,14E+22;1,35E+23;1,64E+23;1,09E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;3,03E+23;2,67E+23;8,39E+22;2,98E+22;4,37E+22;2,55E+23;3,79E+23;5,25E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;5,19E+23;1,55E+23;1,13E+22;7,69E+22;4,41E+22;3,83E+23;4,37E+23;8,18E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;2,68E+23;2,46E+23;4,78E+22;1,78E+22;4,21E+22;1,91E+23;1,19E+23;3,23E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;4,53E+23;2,69E+23;6,52E+22;5,65E+22;3,96E+22;1,59E+23;2,16E+23;4,48E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;4,58E+23;1,82E+23;5,84E+21;7,94E+22;1,24E+23;2,30E+23;4,57E+23;5,46E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;3,37E+23;2,47E+23;1,74E+22;6,77E+22;3,05E+22;3,02E+23;2,78E+23;7,17E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;3,37E+23;1,13E+23;1,37E+22;8,50E+21;2,31E+22;2,24E+23;1,94E+23;5,00E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;1,39E+24;6,60E+22;4,09E+22;2,97E+22;3,62E+22;2,05E+23;1,44E+23;9,65E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;4,98E+23;2,86E+23;1,99E+22;1,15E+22;8,12E+21;2,72E+23;1,46E+23;8,64E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;9,20E+23;2,33E+23;5,07E+22;2,40E+22;2,15E+22;4,80E+23;2,60E+23;3,55E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-1,03E+21;1,12E+23;9,56E+22;2,59E+22;2,78E+22;8,02E+21;1,14E+23;5,88E+22;2,27E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;2,61E+23;2,84E+23;1,89E+22;8,53E+21;4,53E+22;2,97E+22;1,40E+22;1,24E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;3,01E+23;2,60E+23;4,76E+22;6,26E+21;2,48E+22;1,81E+23;1,70E+23;1,03E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;1,72E+24;1,77E+23;8,09E+22;2,65E+22;1,30E+23;1,59E+23;1,89E+23;6,18E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;2,48E+24;9,11E+23;8,43E+21;8,78E+22;1,02E+23;5,93E+22;3,24E+22;3,59E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;2,00E+24;8,36E+23;5,13E+22;1,20E+23;2,20E+23;1,68E+23;7,16E+22;8,13E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;3,42E+23;3,20E+23;1,68E+22;4,14E+22;7,97E+22;3,04E+23;1,91E+23;8,90E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-1,20E+21;1,43E+23;2,63E+22;2,59E+22;1,42E+22;9,71E+21;7,77E+22;1,13E+23;3,76E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;2,08E+22;3,48E+22;3,35E+21;1,45E+22;1,49E+22;5,34E+22;1,71E+22;3,62E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;1,13E+24;5,60E+23;9,86E+22;6,97E+22;1,03E+23;2,29E+23;1,60E+23;3,79E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;5,59E+23;1,81E+23;6,76E+22;9,36E+21;7,71E+22;2,70E+23;2,98E+23;4,41E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-1,50E+21;7,13E+22;1,97E+22;9,18E+21;1,49E+22;7,19E+21;1,36E+23;9,03E+22;4,78E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;5,57E+23;3,85E+23;7,16E+22;3,29E+22;1,78E+23;2,37E+23;1,21E+23;4,37E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;1,04E+24;6,77E+23;3,84E+22;4,95E+22;4,37E+22;2,13E+23;2,75E+23;2,81E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;6,90E+23;1,33E+23;2,72E+22;4,47E+22;5,92E+22;2,57E+23;1,58E+23;3,84E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;5,09E+23;1,96E+23;8,75E+22;6,56E+22;3,73E+22;2,21E+23;4,82E+23;1,01E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;3,29E+22;7,03E+22;1,13E+22;6,53E+21;4,40E+21;1,09E+23;2,62E+22;1,48E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;3,63E+23;7,03E+22;1,89E+22;1,20E+22;2,18E+22;3,10E+22;3,85E+22;1,43E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;1,31E+24;8,86E+22;5,91E+22;3,66E+22;5,80E+22;2,73E+23;2,44E+23;1,16E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;2,24E+23;2,47E+23;2,58E+22;9,96E+22;3,39E+22;3,46E+23;3,04E+23;1,11E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;1,55E+23;1,37E+23;2,34E+22;6,87E+21;1,74E+22;3,69E+22;2,57E+22;1,04E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;7,53E+23;3,86E+23;1,01E+23;3,22E+22;2,19E+22;3,72E+23;1,34E+23;4,73E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;4,82E+23;2,94E+23;1,88E+22;1,80E+22;5,76E+22;3,73E+23;5,07E+23;9,27E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;1,47E+24;1,15E+24;7,20E+22;1,28E+23;4,21E+22;1,34E+24;1,12E+24;7,09E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;-2,05E+21;5,26E+22;2,15E+22;1,95E+22;7,36E+21;1,63E+22;8,30E+22;2,71E+22;1,48E+22;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;1,47E+24;2,08E+24;2,59E+23;2,98E+23;3,46E+23;7,44E+23;4,27E+23;2,87E+23;0.000000000000000000e+00;0.000000000000000000e+00
6000000000000000000,00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;2,05E+21;4,45E+23;1,22E+22;5,59E+22;1,74E+22;2,33E+22;3,31E+22;2,17E+22;1,81E+22;0.000000000000000000e+00;0.000000000000000000e+00
